id,serial,player_name,club,position,goals,right_foot,left_foot,headers,others,inside_area,outside_areas,penalties,match_played
121,73,Vlahović,Juventus,Forward,1,1,0,0,0,1,0,0,2
122,73,Rebić,Milan,Forward,1,1,0,0,0,1,0,0,2
123,73,Henderson,Liverpool,Midfielder,1,1,0,0,0,0,1,0,12
124,73,Thiago Alcántara,Liverpool,Midfielder,1,1,0,0,0,0,1,0,10
125,73,Keïta,Liverpool,Midfielder,1,1,0,0,0,0,1,0,9
126,73,Martínez,Inter,Forward,1,1,0,0,0,0,1,0,8
127,73,Rieder,Young Boys,Midfielder,1,1,0,0,0,0,1,0,6
128,73,Muriel,Atalanta,Forward,1,1,0,0,0,0,1,0,5
129,73,Ozdoev,Zenit,Midfielder,1,1,0,0,0,0,1,0,1
130,73,Sučić,Salzburg,Midfielder,1,0,1,0,0,1,0,1,8
131,73,Rakitskyy,Zenit,Defender,1,0,1,0,0,1,0,1,6
132,73,Ghezzal,Beşiktaş,Midfielder,1,0,1,0,0,1,0,1,5
133,73,Parejo,Villarreal,Midfielder,1,0,1,0,0,1,0,0,12
134,73,Ziyech,Chelsea,Midfielder,1,0,1,0,0,1,0,0,9
135,73,Musiala,Bayern,Midfielder,1,0,1,0,0,1,0,0,8
136,73,Nuno Santos,Sporting CP,Forward,1,0,1,0,0,1,0,0,7
137,73,Moreno,Villarreal,Defender,1,0,1,0,0,1,0,0,7
138,73,Vidal,Inter,Midfielder,1,0,1,0,0,1,0,0,7
139,73,Herrera,Paris,Midfielder,1,0,1,0,0,1,0,0,6
140,73,Neres,Ajax,Forward,1,0,1,0,0,1,0,0,5
141,73,Hudson-Odoi,Chelsea,Midfielder,1,0,1,0,0,1,0,0,5
142,73,Palomino,Atalanta,Defender,1,0,1,0,0,1,0,0,5
143,73,Sierro,Young Boys,Midfielder,1,0,1,0,0,1,0,0,5
144,73,Brahim Díaz,Milan,Midfielder,1,0,1,0,0,1,0,0,5
145,73,Pašalić,Atalanta,Midfielder,1,0,1,0,0,1,0,0,5
146,73,Bruno Tabata,Sporting CP,Midfielder,1,0,1,0,0,1,0,0,4
147,73,Kjærgaard,Salzburg,Midfielder,1,0,1,0,0,1,0,0,4
148,73,Pessina,Atalanta,Midfielder,1,0,1,0,0,1,0,0,4
149,73,Greenwood,Man. United,Forward,1,0,1,0,0,1,0,0,4
150,73,Iličić,Atalanta,Midfielder,1,0,1,0,0,1,0,0,4
151,73,Palmer,Man. City,Midfielder,1,0,1,0,0,1,0,0,3
152,73,Gosens,Atalanta,Midfielder,1,0,1,0,0,1,0,0,2
153,73,Alaba,Real Madrid,Defender,1,0,1,0,0,0,1,0,12
154,73,Asensio,Real Madrid,Forward,1,0,1,0,0,0,1,0,8
155,73,Blind,Ajax,Defender,1,0,1,0,0,0,1,0,8
156,73,Wöber,Salzburg,Defender,1,0,1,0,0,0,1,0,7
157,73,Hefti,Young Boys,Defender,1,0,1,0,0,0,1,0,6
158,73,Malinovskyi,Atalanta,Midfielder,1,0,1,0,0,0,1,0,5
159,73,Sutormin,Zenit,Midfielder,1,0,1,0,0,0,1,0,4
160,73,Alex Telles,Man. United,Defender,1,0,1,0,0,0,1,0,4
161,73,Diogo Jota,Liverpool,Forward,1,0,0,1,0,1,0,0,11
162,73,Renan Lodi,Atlético,Defender,1,0,0,1,0,1,0,0,10
163,73,Rüdiger,Chelsea,Defender,1,0,0,1,0,1,0,0,9
164,73,João Félix,Atlético,Forward,1,0,0,1,0,1,0,0,8
165,73,Coquelin,Villarreal,Midfielder,1,0,0,1,0,1,0,0,8
166,73,Pino,Villarreal,Forward,1,0,0,1,0,1,0,0,7
167,73,Origi,Liverpool,Forward,1,0,0,1,0,1,0,0,7
168,73,Alex Sandro,Juventus,Defender,1,0,0,1,0,1,0,0,7
169,73,Taremi,Porto,Forward,1,0,0,1,0,1,0,0,6
170,73,Kean,Juventus,Forward,1,0,0,1,0,1,0,0,6
171,73,Jordán,Sevilla,Midfielder,1,0,0,1,0,1,0,0,6
172,73,Demiral,Atalanta,Defender,1,0,0,1,0,1,0,0,6
173,73,Aké,Man. City,Defender,1,0,0,1,0,1,0,0,6
174,73,Kulusevski,Juventus,Midfielder,1,0,0,1,0,1,0,0,5
175,73,Larin,Beşiktaş,Forward,1,0,0,1,0,1,0,0,5
176,73,Kuzyaev,Zenit,Midfielder,1,0,0,1,0,1,0,0,4
177,73,Montero,Beşiktaş,Defender,1,0,0,1,0,1,0,0,4
178,73,Choupo-Moting,Bayern,Midfielder,1,0,0,1,0,1,0,0,4
179,73,Yansané,Sheriff,Forward,1,0,0,1,0,1,0,0,3
180,73,Yakhshiboev,Sheriff,Forward,1,0,0,1,0,1,0,0,3
181,73,Messias Junior,Milan,Forward,1,0,0,1,0,1,0,0,2
182,73,Morato,Benfica,Defender,1,0,0,1,0,1,0,0,2
183,73,Pedro Porro,Sporting CP,Defender,1,0,0,0,1,1,0,0,7
