id,player_name,club,position,minutes_played,match_played,goals,assists,distance_covered
273,Xeka,LOSC,Midfielder,435,7,0,0,54.1
274,Mæhle,Atalanta,Defender,435,5,0,1,56.4
275,Garcia,Young Boys,Defender,435,5,0,0,40.2
276,Malcom,Zenit,Forward,434,6,0,1,48.6
277,Fred,Man. United,Midfielder,433,6,0,0,43.4
278,Angeliño,Leipzig,Defender,432,5,0,3,50.7
279,Pedraza,Villarreal,Midfielder,431,10,0,1,55.3
280,Pino,Villarreal,Forward,431,7,1,0,54.7
281,Verratti,Paris,Midfielder,431,5,0,0,55.7
282,Guilavogui,Wolfsburg,Midfielder,429,5,0,0,50.5
283,Kanté,Chelsea,Midfielder,427,6,0,1,52.2
284,Kovačić,Chelsea,Midfielder,426,6,0,0,50.3
285,Lindelöf,Man. United,Defender,426,5,0,0,37.8
286,Hermoso,Atlético,Defender,425,6,0,0,47.7
287,C. Martins Pereira,Young Boys,Midfielder,420,5,0,0,44.5
288,Hakan Çalhanoğlu,Inter,Midfielder,419,6,0,0,55.2
289,Wan-Bissaka,Man. United,Defender,419,6,0,0,45.9
290,Tomori,Milan,Defender,418,5,1,0,45.4
291,Botman,LOSC,Defender,418,5,0,0,47.4
292,Rits,Club Brugge,Midfielder,417,6,2,0,53.9
293,Baku,Wolfsburg,Midfielder,413,6,1,0,48.6
294,Ahmedhodžić,Malmö,Defender,413,5,0,0,46.3
295,André Silva,Leipzig,Forward,410,6,3,2,47.2
296,Vidal,Inter,Midfielder,409,7,1,2,53.2
297,Balanta,Club Brugge,Midfielder,407,5,0,0,50.7
298,Renato Sanches,LOSC,Midfielder,407,5,0,0,49.2
299,Zappacosta,Atalanta,Defender,405,6,0,1,51
300,Laimer,Leipzig,Midfielder,405,6,0,1,49.1
301,Kolovos,Sheriff,Midfielder,405,6,0,0,49.3
302,Rosier,Beşiktaş,Defender,405,5,0,0,46.8
303,Correa,Atlético,Forward,401,10,1,0,49.6
304,Gueye,Paris,Midfielder,400,7,1,0,48.1
305,McTominay,Man. United,Midfielder,400,5,0,0,53.8
306,Gavi,Barcelona,Midfielder,398,6,0,0,54.1
307,Weghorst,Wolfsburg,Forward,398,5,0,0,49.4
308,Shaw,Man. United,Defender,397,5,0,2,36.6
309,Brandt,Dortmund,Midfielder,395,5,0,0,51.8
310,Sancho,Man. United,Midfielder,393,7,1,0,42
311,Piqué,Barcelona,Defender,393,5,1,0,44
312,Malen,Dortmund,Forward,392,6,3,0,43.7
313,Romagnoli,Milan,Defender,392,5,0,0,44.7
314,Gnabry,Bayern,Forward,391,8,3,2,46.7
315,Zaidu,Porto,Defender,389,6,0,0,45.9
316,McKennie,Juventus,Midfielder,388,6,0,0,51.9
317,Hefti,Young Boys,Defender,386,6,1,1,38.8
318,Forsberg,Leipzig,Forward,385,6,2,2,48.2
319,Batshuayi,Beşiktaş,Forward,383,5,0,0,43.5
320,Bentancur,Juventus,Midfielder,382,5,0,1,48.7
321,Ricardo Esgaio,Sporting CP,Defender,380,8,0,2,48.8
322,Acuña,Sevilla,Defender,379,5,0,0,43.2
323,Lemar,Atlético,Midfielder,377,8,0,1,48.9
324,Bennacer,Milan,Midfielder,376,6,0,0,47.1
325,De Pena,Dynamo Kyiv,Midfielder,375,6,0,0,49
326,Jordi Alba,Barcelona,Defender,375,5,0,1,45.8
327,Tetê,Shakhtar Donetsk,Forward,373,6,0,0,44.5
328,Demiral,Atalanta,Defender,370,6,1,0,42.2
329,Gonçalo Ramos,Benfica,Forward,369,7,1,1,52.1
330,Luís Neto,Sporting CP,Defender,368,6,0,0,38.6
331,Pulišić,Chelsea,Midfielder,367,7,2,1,47.3
332,Ronald Araújo,Barcelona,Defender,367,5,0,0,36.4
333,Kędziora,Dynamo Kyiv,Defender,366,5,0,0,44.4
334,Danilo,Paris,Midfielder,362,7,0,0,40.6
335,Roussillon,Wolfsburg,Defender,362,6,0,0,41.6
336,Tolói,Atalanta,Defender,360,4,0,0,45.2
337,Matviyenko,Shakhtar Donetsk,Defender,360,4,0,0,43
338,Kritsyuk,Zenit,Goalkeeper,360,4,0,0,19.5
339,Loftus-Cheek,Chelsea,Forward,358,8,0,1,44.2
340,Hummels,Dortmund,Defender,358,5,0,0,41.2
341,Castañeda,Sheriff,Midfielder,357,5,0,0,45.5
342,Klostermann,Leipzig,Defender,357,5,0,0,42.2
343,Birmančević,Malmö,Midfielder,356,6,0,1,44.6
344,Ismaily,Shakhtar Donetsk,Defender,355,5,0,0,44.8
345,Larin,Beşiktaş,Forward,354,5,1,0,40.2
346,Varane,Man. United,Defender,353,5,0,0,34.2
347,Jesus,Man. City,Forward,352,8,4,1,41.9
348,Brahim Díaz,Milan,Midfielder,351,5,1,1,43.9
349,João Mário,Porto,Forward,351,4,0,0,39.3
350,Fernando,Shakhtar Donetsk,Midfielder,350,5,2,0,34.8
351,Pepe,Porto,Defender,349,5,0,0,39.8
352,Fernandinho,Man. City,Midfielder,347,8,0,2,44.7
353,Luis Suárez,Atlético,Forward,347,7,1,0,38.7
354,Pogba,Man. United,Midfielder,347,6,0,0,30.9
355,Camara,Young Boys,Defender,347,4,0,0,30.5
356,Okafor,Salzburg,Midfielder,345,6,3,0,40
357,Ghezzal,Beşiktaş,Midfielder,345,5,1,0,38.3
358,Lenglet,Barcelona,Defender,345,4,0,0,40.4
359,Taarabt,Benfica,Midfielder,343,9,0,0,45.2
360,Pedrinho,Shakhtar Donetsk,Midfielder,343,4,0,0,40.9
361,Siebatcheu,Young Boys,Forward,341,6,2,0,35.6
362,Vranckx,Wolfsburg,Midfielder,337,4,0,0,41.5
363,Chiesa,Juventus,Forward,336,4,2,0,37.5
364,Gvardiol,Leipzig,Defender,334,6,0,0,41.5
365,Tonali,Milan,Midfielder,333,6,0,0,44.4
366,Jesús Navas,Sevilla,Defender,332,4,0,0,40
367,Sobol,Club Brugge,Defender,331,4,0,1,39.1
368,Brooks,Wolfsburg,Defender,331,4,0,0,36.3
369,Trigueros,Villarreal,Midfielder,330,9,1,0,42.9
370,Pedro Gonçalves,Sporting CP,Midfielder,329,5,4,2,41.3
371,Mbabu,Wolfsburg,Defender,328,6,0,0,38.6
372,Solet,Salzburg,Defender,328,5,0,0,38.9
373,Christiansen,Malmö,Midfielder,328,4,0,0,41.9
374,Jordán,Sevilla,Midfielder,327,6,1,0,43.3
375,Herrera,Paris,Midfielder,326,6,1,0,44.3
376,Garmash,Dynamo Kyiv,Midfielder,325,6,1,0,42.7
377,Aké,Man. City,Defender,324,6,1,0,36.9
378,L. Nmecha,Wolfsburg,Forward,322,5,2,0,42
379,Solomon,Shakhtar Donetsk,Midfielder,322,5,0,0,42.3
380,Gómez,Sevilla,Forward,322,5,0,0,36.7
381,Kessié,Milan,Midfielder,321,5,0,1,41.2
382,Lukaku,Chelsea,Forward,320,6,2,0,31.5
383,Grujić,Porto,Midfielder,320,6,0,1,40.9
384,Paredes,Paris,Midfielder,315,5,0,0,36.9
385,Calabria,Milan,Defender,315,4,0,0,38.5
386,Orbán,Leipzig,Defender,315,4,0,0,35.6
387,Lovren,Zenit,Defender,315,4,0,0,34.7
388,Dahlin,Malmö,Goalkeeper,315,4,0,0,14.2
389,Evanilson,Porto,Forward,313,4,0,0,34.9
390,Welinton,Beşiktaş,Defender,313,4,0,0,33
391,Bruno,Sheriff,Midfielder,312,6,0,0,38.5
392,Moreno,Villarreal,Defender,309,7,1,0,41.7
393,Montero,Beşiktaş,Defender,306,4,1,0,34.6
394,Vrsaljko,Atlético,Defender,304,5,0,0,36.9
395,Greenwood,Man. United,Forward,304,4,1,1,38.1
396,Azmoun,Zenit,Forward,303,5,2,1,30.3
397,Malinovskyi,Atalanta,Midfielder,301,5,1,0,38.5
398,Sérgio Oliveira,Porto,Midfielder,300,6,1,0,39.7
399,Karavaev,Zenit,Defender,299,4,0,1,38.3
400,Sowah,Club Brugge,Forward,298,5,0,0,38.4
401,Ikoné,LOSC,Midfielder,297,5,1,2,35.3
402,Simakan,Leipzig,Defender,297,4,0,0,32
403,Lukebakio,Wolfsburg,Forward,296,6,0,0,35.9
404,Rafael Leão,Milan,Forward,294,4,1,1,32.4
405,Sutormin,Zenit,Midfielder,293,4,1,0,34.3
406,Alex Telles,Man. United,Defender,293,4,1,0,33.5
407,Bernardeschi,Juventus,Midfielder,292,5,0,2,36.3
408,Adams,Leipzig,Midfielder,292,5,0,0,38.9
